"playerNr"	"period"	"nAnimals"	"animalName"	"treatment"	"firstEstimate"	"secondEstimate"	"p1"	"p2"	"p3"	"meanP"	"varP"	"skewP"	"counterI"	"counterII"	"counterIII"	"age"	"gender"	"SocInfo"	"S"	"emulTreat"	"case"	"inaccuracy"	"d1"	"d2"	"d3"	"e2"	"normS"
"1898"	60	19	62	"crane"	6	57	62	77	85	96	86	91	0.104	5	9	5	NA	NA	"0.172413793103448"	0.172413793103448	NA	3	5	0.350877192982456	0.491228070175439	0.684210526315789	0.087719298245614	NA
"1907"	60	28	69	"flamingo"	6	65	66	27	50	71	49.333	484.333	-0.03	5	18	5	NA	NA	"-0.063828429182358"	-0.0638284291823578	NA	5	4	0.0923076923076923	0.230769230769231	0.584615384615385	0.0153846153846154	NA
"1909"	60	30	97	"cricket"	6	89	89	73	80	92	81.667	92.333	0.168	5	20	5	NA	NA	"0"	0	NA	5	8	0.0337078651685393	0.101123595505618	0.179775280898876	0	NA
"1911"	60	32	97	"bee"	6	78	82	85	105	120	103.333	308.333	-0.094	5	22	5	NA	NA	"0.157896814431769"	0.157896814431769	NA	3	19	0.0897435897435897	0.346153846153846	0.538461538461538	0.0512820512820513	NA
"1915"	60	36	53	"ant"	6	51	52	33	52	54	46.333	134.333	-0.372	5	26	5	NA	NA	"-0.214270409256482"	-0.214270409256482	NA	6	2	0.0588235294117647	0.0196078431372549	0.352941176470588	0.0196078431372549	NA
"1925"	61	6	98	"ant"	6	85	85	64	77	109	83.333	536.333	0.253	5	1	1	NA	NA	"0"	0	NA	5	13	0.282352941176471	0.0941176470588235	0.247058823529412	0	NA
"1928"	61	9	85	"crane"	6	85	85	56	115	121	97.333	1290.333	-0.373	5	4	1	NA	NA	"0"	0	NA	5	0	0.341176470588235	0.352941176470588	0.423529411764706	0	NA
"1929"	61	10	84	"cricket"	6	70	70	42	66	108	72	1116	0.174	5	5	1	NA	NA	"0"	0	NA	7	14	0.4	0.0571428571428571	0.542857142857143	0	NA
"1931"	61	12	98	"bee"	6	115	116	77	79	81	79	4	0	5	7	1	NA	NA	"-0.027777777777778"	-0.0277777777777778	NA	1	17	0.295652173913043	0.31304347826087	0.330434782608696	0.00869565217391304	NA
"1932"	61	13	50	"flamingo"	6	60	60	34	40	46	40	36	0	5	8	1	NA	NA	"0"	0	NA	2	10	0.233333333333333	0.333333333333333	0.433333333333333	0	NA
"1933"	61	14	62	"crane"	6	67	67	41	50	51	47.333	30.333	-0.371	5	9	1	NA	NA	"0"	0	NA	2	5	0.238805970149254	0.253731343283582	0.388059701492537	0	NA
"1942"	61	23	69	"flamingo"	6	80	80	53	55	59	55.667	9.333	0.208	5	18	1	NA	NA	"0"	0	NA	2	11	0.2625	0.3125	0.3375	0	NA
"1944"	61	25	97	"cricket"	6	80	80	43	62	114	73	1351	0.272	5	20	1	NA	NA	"0"	0	NA	5	17	0.425	0.225	0.4625	0	NA
"1946"	61	27	97	"bee"	6	93	93	97	105	150	117.333	816.333	0.351	5	22	1	NA	NA	"0"	0	NA	2	4	0.043010752688172	0.129032258064516	0.612903225806452	0	NA
"1950"	61	31	53	"ant"	6	56	56	27	58	66	50.333	424.333	-0.321	5	26	1	NA	NA	"0"	0	NA	7	3	0.178571428571429	0.0357142857142857	0.517857142857143	0	NA
"1960"	63	1	98	"ant"	6	73	65	42	43	52	45.667	30.333	0.371	1	1	1	NA	NA	"0.292686496176783"	0.292686496176783	NA	3	25	0.287671232876712	0.410958904109589	0.424657534246575	0.10958904109589	NA
"1963"	63	4	85	"crane"	6	77	78	68	70	108	82	508	0.381	1	4	1	NA	NA	"0.2"	0.2	NA	7	8	0.116883116883117	0.0909090909090909	0.402597402597403	0.012987012987013	NA
"1964"	63	5	84	"cricket"	6	62	60	43	45	70	52.667	226.333	0.377	1	5	1	NA	NA	"0.214293367620272"	0.214293367620272	NA	5	22	0.129032258064516	0.274193548387097	0.306451612903226	0.032258064516129	NA
"1966"	63	7	98	"bee"	6	81	78	36	73	88	65.667	716.333	-0.253	1	7	1	NA	NA	"0.195656427313637"	0.195656427313637	NA	5	17	0.0864197530864197	0.0987654320987654	0.555555555555556	0.037037037037037	NA
"1967"	63	8	50	"flamingo"	6	52	53	44	73	106	74.333	962.333	0.043	1	8	1	NA	NA	"0.04477678771325"	0.0447767877132495	NA	5	2	0.153846153846154	0.403846153846154	1.03846153846154	0.0192307692307692	NA
"1968"	63	9	62	"crane"	6	54	60	59	74	77	70	93	-0.343	1	9	1	NA	NA	"0.375"	0.375	NA	5	8	0.0925925925925926	0.37037037037037	0.425925925925926	0.111111111111111	NA
"1977"	63	18	69	"flamingo"	6	69	67	55	58	66	59.667	32.333	0.268	1	18	1	NA	NA	"0.214293367620272"	0.214293367620272	NA	3	0	0.0434782608695652	0.159420289855072	0.202898550724638	0.0289855072463768	NA
"1979"	63	20	97	"cricket"	6	77	78	34	66	103	67.667	1192.333	0.048	1	20	1	NA	NA	"-0.107146683810136"	-0.107146683810136	NA	5	20	0.337662337662338	0.142857142857143	0.558441558441558	0.012987012987013	NA
"1981"	63	22	97	"bee"	6	80	77	66	73	96	78.333	246.333	0.301	1	22	1	NA	NA	"1.7996400719856"	1.7996400719856	NA	5	17	0.2	0.0875	0.175	0.0375	NA
"1985"	63	26	53	"ant"	6	39	44	32	49	64	48.333	256.333	-0.042	1	26	1	NA	NA	"0.535733419050681"	0.535733419050681	NA	5	14	0.179487179487179	0.256410256410256	0.641025641025641	0.128205128205128	NA
"2024"	65	6	98	"ant"	6	59	67	57	86	93	78.667	364.333	-0.327	1	1	5	NA	NA	"0.406772766563279"	0.406772766563279	NA	5	39	0.0338983050847458	0.457627118644068	0.576271186440678	0.135593220338983	NA
"2027"	65	9	85	"crane"	6	72	76	45	86	92	74.333	654.333	-0.361	1	4	5	NA	NA	"1.71453064723532"	1.71453064723532	NA	5	13	0.375	0.194444444444444	0.277777777777778	0.0555555555555556	NA
"2028"	65	10	84	"cricket"	6	68	69	57	64	76	65.667	92.333	0.168	1	5	5	NA	NA	"-0.42863266180883"	-0.42863266180883	NA	5	16	0.117647058823529	0.0588235294117647	0.161764705882353	0.0147058823529412	NA
"2030"	65	12	98	"bee"	6	84	81	63	79	100	80.667	344.333	0.089	1	7	5	NA	NA	"0.9000900090009"	0.900090009000901	NA	5	14	0.19047619047619	0.0595238095238095	0.25	0.0357142857142857	NA
"2031"	65	13	50	"flamingo"	6	33	43	12	38	65	38.333	702.333	0.013	1	8	5	NA	NA	"1.87511719482468"	1.87511719482468	NA	7	17	0.636363636363636	0.151515151515152	0.96969696969697	0.303030303030303	NA
"2032"	65	14	62	"crane"	6	59	62	57	71	77	68.333	105.333	-0.242	1	9	5	NA	NA	"0.321440051430408"	0.321440051430408	NA	5	3	0.0338983050847458	0.203389830508475	0.305084745762712	0.0508474576271186	NA
"2041"	65	23	69	"flamingo"	6	64	66	42	45	96	61	921	0.381	1	18	5	NA	NA	"-0.666666666666667"	-0.666666666666667	NA	5	5	0.5	0.296875	0.34375	0.03125	NA
"2043"	65	25	97	"cricket"	6	71	73	60	98	125	94.333	1066.333	-0.111	1	20	5	NA	NA	"0.085715510221575"	0.0857155102215746	NA	5	26	0.154929577464789	0.380281690140845	0.76056338028169	0.028169014084507	NA
"2045"	65	27	97	"bee"	6	77	74	58	65	99	74	481	0.341	1	22	5	NA	NA	"1"	1	NA	5	20	0.285714285714286	0.155844155844156	0.246753246753247	0.038961038961039	NA
"2049"	65	31	53	"ant"	6	38	42	26	32	87	48.333	1130.333	0.371	1	26	5	NA	NA	"0.387109261589084"	0.387109261589084	NA	7	15	0.315789473684211	0.157894736842105	1.28947368421053	0.105263157894737	NA
"2069"	66	11	98	"ant"	6	45	45	32	66	116	71.333	1785.333	0.124	5	1	5	NA	NA	"0"	0	NA	5	53	0.288888888888889	0.466666666666667	1.57777777777778	0	NA
"2072"	66	14	85	"crane"	6	54	54	31	92	105	76	1561	-0.339	5	4	5	NA	NA	"0"	0	NA	5	31	0.425925925925926	0.703703703703704	0.944444444444444	0	NA
"2073"	66	15	84	"cricket"	6	51	52	45	63	80	62.667	306.333	-0.019	5	5	5	NA	NA	"0.085711836804663"	0.0857118368046627	NA	5	33	0.117647058823529	0.235294117647059	0.568627450980392	0.0196078431372549	NA
"2075"	66	17	98	"bee"	6	53	53	40	62	81	61	421	-0.049	5	7	5	NA	NA	"0"	0	NA	5	45	0.245283018867925	0.169811320754717	0.528301886792453	0	NA
"2076"	66	18	50	"flamingo"	6	39	38	23	33	42	32.667	90.333	-0.035	5	8	5	NA	NA	"0.157903047528817"	0.157903047528817	NA	5	11	0.0769230769230769	0.153846153846154	0.41025641025641	0.0256410256410256	NA
"2077"	66	19	62	"crane"	6	44	44	25	65	71	53.667	625.333	-0.36	5	9	5	NA	NA	"0"	0	NA	5	18	0.431818181818182	0.477272727272727	0.613636363636364	0	NA
"2086"	66	28	69	"flamingo"	6	42	49	57	61	62	60	7	-0.324	5	18	5	NA	NA	"0.388888888888889"	0.388888888888889	NA	3	27	0.357142857142857	0.452380952380952	0.476190476190476	0.166666666666667	NA
"2088"	66	30	97	"cricket"	6	52	55	42	72	113	75.667	1270.333	0.102	5	20	5	NA	NA	"0.12675877804538"	0.12675877804538	NA	5	45	0.192307692307692	0.384615384615385	1.17307692307692	0.0576923076923077	NA
"2090"	66	32	97	"bee"	6	54	59	49	73	106	76	819	0.104	5	22	5	NA	NA	"0.227272727272727"	0.227272727272727	NA	5	43	0.0925925925925926	0.351851851851852	0.962962962962963	0.0925925925925926	NA
"2094"	66	36	53	"ant"	6	35	42	52	57	70	59.667	86.333	0.263	5	26	5	NA	NA	"0.283779948919609"	0.283779948919609	NA	3	18	0.485714285714286	0.628571428571429	1	0.2	NA
"2104"	67	6	98	"ant"	6	67	68	30	56	82	56	676	0	5	1	1	NA	NA	"-0.090909090909091"	-0.0909090909090909	NA	5	31	0.223880597014925	0.164179104477612	0.552238805970149	0.0149253731343284	NA
"2107"	67	9	85	"crane"	6	76	77	31	65	105	67	1372	0.054	5	4	1	NA	NA	"-0.111111111111111"	-0.111111111111111	NA	5	9	0.381578947368421	0.144736842105263	0.592105263157895	0.0131578947368421	NA
"2108"	67	10	84	"cricket"	6	65	63	25	46	107	59.333	1814.333	0.282	5	5	1	NA	NA	"0.352920416446091"	0.352920416446091	NA	5	19	0.646153846153846	0.292307692307692	0.615384615384615	0.0307692307692308	NA
"2110"	67	12	98	"bee"	6	79	76	40	74	120	78	1612	0.099	5	7	1	NA	NA	"3"	NA	NA	5	19	0.518987341772152	0.0632911392405063	0.493670886075949	0.0379746835443038	NA
"2111"	67	13	50	"flamingo"	6	64	58	38	45	49	44	31	-0.174	5	8	1	NA	NA	"0.3"	0.3	NA	3	14	0.234375	0.296875	0.40625	0.09375	NA
"2112"	67	14	62	"crane"	6	54	56	59	74	77	70	93	-0.343	5	9	1	NA	NA	"0.125"	0.125	NA	3	8	0.0925925925925926	0.37037037037037	0.425925925925926	0.037037037037037	NA
"2121"	67	23	69	"flamingo"	6	61	58	37	41	65	47.667	229.333	0.355	5	18	1	NA	NA	"0.225005625140629"	0.225005625140629	NA	5	8	0.0655737704918033	0.327868852459016	0.39344262295082	0.0491803278688525	NA
"2123"	67	25	97	"cricket"	6	89	73	73	80	92	81.667	92.333	0.168	5	20	1	NA	NA	"2.18191735987999"	NA	NA	8	8	0.0337078651685393	0.101123595505618	0.179775280898876	0.179775280898876	NA
"2125"	67	27	97	"bee"	6	78	82	85	105	120	103.333	308.333	-0.094	5	22	1	NA	NA	"0.157896814431769"	0.157896814431769	NA	3	19	0.0897435897435897	0.346153846153846	0.538461538461538	0.0512820512820513	NA
"2129"	67	31	53	"ant"	6	42	45	47	59	65	57	84	-0.208	5	26	1	NA	NA	"0.2"	0.2	NA	3	11	0.119047619047619	0.404761904761905	0.547619047619048	0.0714285714285714	NA
"2149"	68	11	98	"ant"	6	52	51	33	40	116	63	2119	0.375	5	1	5	NA	NA	"-0.090909090909091"	-0.0909090909090909	NA	7	46	0.365384615384615	0.230769230769231	1.23076923076923	0.0192307692307692	NA
"2152"	68	14	85	"crane"	6	20	21	75	88	103	88.667	196.333	0.047	5	4	5	NA	NA	"0.014563036101767"	0.0145630361017665	NA	3	65	2.75	3.4	4.15	0.05	NA
"2153"	68	15	84	"cricket"	6	44	45	66	79	80	75	61	-0.378	5	5	5	NA	NA	"0.032258064516129"	0.032258064516129	NA	3	40	0.5	0.795454545454545	0.818181818181818	0.0227272727272727	NA
"2155"	68	17	98	"bee"	6	37	39	70	74	100	81.333	265.333	0.359	5	7	5	NA	NA	"0.045113121151287"	0.0451131211512869	NA	3	61	0.891891891891892	1	1.7027027027027	0.0540540540540541	NA
"2156"	68	18	50	"flamingo"	6	23	23	51	53	54	52.667	2.333	-0.208	5	8	5	NA	NA	"0"	0	NA	2	27	1.21739130434783	1.30434782608696	1.34782608695652	0	NA
"2157"	68	19	62	"crane"	6	26	30	59	60	77	65.333	102.333	0.381	5	9	5	NA	NA	"0.101695777082857"	0.101695777082857	NA	3	36	1.26923076923077	1.30769230769231	1.96153846153846	0.153846153846154	NA
"2166"	68	28	69	"flamingo"	6	37	37	24	39	90	51	1197	0.305	5	18	5	NA	NA	"0"	0	NA	5	32	0.351351351351351	0.0540540540540541	1.43243243243243	0	NA
"2168"	68	30	97	"cricket"	6	38	39	85	89	91	88.333	9.333	-0.208	5	20	5	NA	NA	"0.019867681242922"	0.0198676812429221	NA	3	59	1.23684210526316	1.34210526315789	1.39473684210526	0.0263157894736842	NA
"2170"	68	32	97	"bee"	6	29	30	38	78	110	75.333	1301.333	-0.074	5	22	5	NA	NA	"0.021582889085533"	0.021582889085533	NA	3	68	0.310344827586207	1.68965517241379	2.79310344827586	0.0344827586206897	NA
"2174"	68	36	53	"ant"	6	25	24	36	57	65	52.667	224.333	-0.265	5	26	5	NA	NA	"-0.036144142841653"	-0.0361441428416525	NA	1	28	0.44	1.28	1.6	0.04	NA
"2179"	69	1	98	"ant"	6	46	48	48	48	109	68.333	1240.333	0.385	1	1	1	NA	NA	"0.089553575426499"	0.0895535754264989	NA	6	52	0.0434782608695652	0.0434782608695652	1.3695652173913	0.0434782608695652	NA
"2182"	69	4	85	"crane"	6	64	64	60	71	115	82	847	0.324	1	4	1	NA	NA	"0"	0	NA	5	21	0.0625	0.109375	0.796875	0	NA
"2183"	69	5	84	"cricket"	6	41	51	40	54	71	55	241	0.064	1	5	1	NA	NA	"0.714285714285714"	0.714285714285714	NA	5	43	0.024390243902439	0.317073170731707	0.731707317073171	0.24390243902439	NA
"2185"	69	7	98	"bee"	6	68	64	44	67	83	64.667	384.333	-0.117	1	7	1	NA	NA	"1.2001200120012"	1.2001200120012	NA	7	30	0.220588235294118	0.0147058823529412	0.352941176470588	0.0588235294117647	NA
"2186"	69	8	50	"flamingo"	6	32	33	25	39	59	41	292	0.115	1	8	1	NA	NA	"0.111111111111111"	0.111111111111111	NA	5	18	0.21875	0.21875	0.84375	0.03125	NA
"2187"	69	9	62	"crane"	6	46	47	44	48	60	50.667	69.333	0.287	1	9	1	NA	NA	"0.214270409256482"	0.214270409256482	NA	5	16	0.0434782608695652	0.0434782608695652	0.304347826086957	0.0217391304347826	NA
"2196"	69	18	69	"flamingo"	6	41	58	65	86	101	84	327	-0.109	1	18	1	NA	NA	"0.395348837209302"	0.395348837209302	NA	3	28	0.585365853658537	1.09756097560976	1.46341463414634	0.414634146341463	NA
"2198"	69	20	97	"cricket"	6	60	62	59	91	99	83	448	-0.324	1	20	1	NA	NA	"0.086956521739131"	0.0869565217391304	NA	5	37	0.0166666666666667	0.516666666666667	0.65	0.0333333333333333	NA
"2200"	69	22	97	"bee"	6	64	78	91	92	100	94.333	24.333	0.367	1	22	1	NA	NA	"0.461543533445423"	0.461543533445422	NA	3	33	0.421875	0.4375	0.5625	0.21875	NA
"2204"	69	26	53	"ant"	6	34	31	26	33	38	32.333	36.333	-0.109	1	26	1	NA	NA	"1.7996400719856"	1.7996400719856	NA	7	19	0.117647058823529	0.0294117647058824	0.235294117647059	0.0882352941176471	NA
"2219"	70	1	98	"ant"	6	59	59	57	86	93	78.667	364.333	-0.327	1	1	1	NA	NA	"0"	0	NA	5	39	0.0338983050847458	0.457627118644068	0.576271186440678	0	NA
"2222"	70	4	85	"crane"	6	55	55	46	84	96	75.333	681.333	-0.295	1	4	1	NA	NA	"0"	0	NA	5	30	0.163636363636364	0.527272727272727	0.745454545454545	0	NA
"2223"	70	5	84	"cricket"	6	52	52	55	77	78	70	169	-0.382	1	5	1	NA	NA	"0"	0	NA	2	32	0.0576923076923077	0.480769230769231	0.5	0	NA
"2225"	70	7	98	"bee"	6	59	59	36	79	81	65.333	646.333	-0.382	1	7	1	NA	NA	"0"	0	NA	5	39	0.389830508474576	0.338983050847458	0.372881355932203	0	NA
"2226"	70	8	50	"flamingo"	6	38	38	40	43	60	47.667	116.333	0.352	1	8	1	NA	NA	"0"	0	NA	2	12	0.0526315789473684	0.131578947368421	0.578947368421053	0	NA
"2227"	70	9	62	"crane"	6	43	43	77	82	85	81.333	16.333	-0.16	1	9	1	NA	NA	"0"	0	NA	2	19	0.790697674418605	0.906976744186046	0.976744186046512	0	NA
"2236"	70	18	69	"flamingo"	6	57	57	24	62	70	52	604	-0.34	1	18	1	NA	NA	"0"	0	NA	7	12	0.228070175438596	0.087719298245614	0.578947368421053	0	NA
"2238"	70	20	97	"cricket"	6	67	69	59	74	113	82	777	0.263	1	20	1	NA	NA	"0.133333333333333"	0.133333333333333	NA	5	30	0.119402985074627	0.104477611940299	0.686567164179104	0.0298507462686567	NA
"2240"	70	22	97	"bee"	6	68	68	61	75	96	77.333	310.333	0.13	1	22	1	NA	NA	"0"	0	NA	5	29	0.102941176470588	0.102941176470588	0.411764705882353	0	NA
"2244"	70	26	53	"ant"	6	42	45	47	59	65	57	84	-0.208	1	26	1	NA	NA	"0.2"	0.2	NA	3	11	0.119047619047619	0.404761904761905	0.547619047619048	0.0714285714285714	NA
"2264"	71	6	98	"ant"	6	64	61	35	52	112	66.333	1636.333	0.31	1	1	5	NA	NA	"-1.28589798542649"	NA	NA	7	34	0.453125	0.1875	0.75	0.046875	NA
"2267"	71	9	85	"crane"	6	93	90	46	71	78	65	283	-0.311	1	4	5	NA	NA	"0.107142857142857"	0.107142857142857	NA	3	8	0.161290322580645	0.236559139784946	0.505376344086022	0.032258064516129	NA
"2268"	71	10	84	"cricket"	6	108	107	42	45	58	48.333	72.333	0.332	1	5	5	NA	NA	"0.016759682906799"	0.0167596829067994	NA	3	24	0.462962962962963	0.583333333333333	0.611111111111111	0.00925925925925926	NA
"2270"	71	12	98	"bee"	6	117	112	65	84	90	79.667	170.333	-0.295	1	7	5	NA	NA	"0.133929767230065"	0.133929767230065	NA	3	19	0.230769230769231	0.282051282051282	0.444444444444444	0.0427350427350427	NA
"2271"	71	13	50	"flamingo"	6	58	61	12	68	106	62	2236	-0.125	1	8	5	NA	NA	"0.75"	0.75	NA	5	8	0.793103448275862	0.172413793103448	0.827586206896552	0.0517241379310345	NA
"2272"	71	14	62	"crane"	6	74	75	48	62	94	68	556	0.238	1	9	5	NA	NA	"-0.166666666666667"	-0.166666666666667	NA	5	12	0.27027027027027	0.162162162162162	0.351351351351351	0.0135135135135135	NA
"2281"	71	23	69	"flamingo"	6	95	91	27	53	70	50	469	-0.136	1	18	5	NA	NA	"0.088888888888889"	0.0888888888888889	NA	3	26	0.263157894736842	0.442105263157895	0.715789473684211	0.0421052631578947	NA
"2283"	71	25	97	"cricket"	6	103	102	71	73	85	76.333	57.333	0.355	1	20	5	NA	NA	"0.037499531255859"	0.0374995312558593	NA	3	6	0.174757281553398	0.29126213592233	0.310679611650485	0.00970873786407767	NA
"2285"	71	27	97	"bee"	6	127	128	63	119	135	105.667	1429.333	-0.309	1	22	5	NA	NA	"-0.046875732433319"	-0.0468757324333193	NA	5	30	0.062992125984252	0.062992125984252	0.503937007874016	0.0078740157480315	NA
"2289"	71	31	53	"ant"	6	61	60	52	55	64	57	39	0.287	1	26	5	NA	NA	"0.25"	0.25	NA	5	8	0.0491803278688525	0.0983606557377049	0.147540983606557	0.0163934426229508	NA
"2319"	73	6	98	"ant"	6	85	81	64	77	109	83.333	536.333	0.253	5	1	1	NA	NA	"2.3995200959808"	NA	NA	5	13	0.282352941176471	0.0941176470588235	0.247058823529412	0.0470588235294118	NA
"2322"	73	9	85	"crane"	6	99	95	63	81	104	82.667	422.333	0.081	5	4	1	NA	NA	"0.244902957203208"	0.244902957203208	NA	5	14	0.0505050505050505	0.181818181818182	0.363636363636364	0.0404040404040404	NA
"2323"	73	10	84	"cricket"	6	98	90	35	45	84	54.667	670.333	0.321	5	5	1	NA	NA	"0.184616804744652"	0.184616804744652	NA	3	14	0.142857142857143	0.540816326530612	0.642857142857143	0.0816326530612245	NA
"2325"	73	12	98	"bee"	6	111	106	65	87	102	84.667	346.333	-0.123	5	7	1	NA	NA	"0.189875821212927"	0.189875821212927	NA	3	13	0.0810810810810811	0.216216216216216	0.414414414414414	0.045045045045045	NA
"2326"	73	13	50	"flamingo"	6	50	48	32	36	87	51.667	940.333	0.378	5	8	1	NA	NA	"-1.1997600479904"	NA	NA	7	0	0.36	0.28	0.74	0.04	NA
"2327"	73	14	62	"crane"	6	61	61	59	63	85	69	196	0.35	5	9	1	NA	NA	"0"	0	NA	5	1	0.0327868852459016	0.0327868852459016	0.39344262295082	0	NA
"2336"	73	23	69	"flamingo"	6	70	70	39	67	77	61	388	-0.276	5	18	1	NA	NA	"0"	0	NA	5	1	0.1	0.0428571428571429	0.442857142857143	0	NA
"2338"	73	25	97	"cricket"	6	85	89	50	98	133	93.667	1736.333	-0.103	5	20	1	NA	NA	"0.461520710741894"	0.461520710741894	NA	5	12	0.411764705882353	0.152941176470588	0.564705882352941	0.0470588235294118	NA
"2340"	73	27	97	"bee"	6	101	98	57	68	71	65.333	54.333	-0.314	5	22	1	NA	NA	"0.084111363445202"	0.0841113634452014	NA	3	4	0.297029702970297	0.326732673267327	0.435643564356436	0.0297029702970297	NA
"2344"	73	31	53	"ant"	6	51	52	33	52	54	46.333	134.333	-0.372	5	26	1	NA	NA	"-0.214270409256482"	-0.214270409256482	NA	6	2	0.0588235294117647	0.0196078431372549	0.352941176470588	0.0196078431372549	NA
"2364"	74	11	98	"ant"	6	56	53	36	39	50	41.667	54.333	0.314	5	1	5	NA	NA	"0.209307193190539"	0.209307193190539	NA	3	42	0.107142857142857	0.303571428571429	0.357142857142857	0.0535714285714286	NA
"2367"	74	14	85	"crane"	6	76	71	31	65	105	67	1372	0.054	5	4	5	NA	NA	"0.555555555555556"	0.555555555555556	NA	5	9	0.381578947368421	0.144736842105263	0.592105263157895	0.0657894736842105	NA
"2368"	74	15	84	"cricket"	6	66	69	72	77	87	78.667	58.333	0.208	5	5	5	NA	NA	"0.236835872740191"	0.236835872740191	NA	3	18	0.0909090909090909	0.166666666666667	0.318181818181818	0.0454545454545455	NA
"2370"	74	17	98	"bee"	6	69	75	58	81	120	86.333	982.333	0.165	5	7	5	NA	NA	"0.346160503086598"	0.346160503086598	NA	5	29	0.159420289855072	0.173913043478261	0.739130434782609	0.0869565217391304	NA
"2371"	74	18	50	"flamingo"	6	55	56	36	58	87	60.333	654.333	0.09	5	8	5	NA	NA	"0.187511719482468"	0.187511719482468	NA	5	5	0.345454545454545	0.0545454545454545	0.581818181818182	0.0181818181818182	NA
"2372"	74	19	62	"crane"	6	77	85	66	82	116	88	652	0.222	5	9	5	NA	NA	"0.727272727272727"	0.727272727272727	NA	7	15	0.142857142857143	0.0649350649350649	0.506493506493506	0.103896103896104	NA
"2381"	74	28	69	"flamingo"	6	87	75	59	64	72	65	43	0.149	5	18	5	NA	NA	"0.545454545454545"	0.545454545454545	NA	3	18	0.172413793103448	0.264367816091954	0.32183908045977	0.137931034482759	NA
"2383"	74	30	97	"cricket"	6	76	74	60	67	99	75.333	432.333	0.336	5	20	5	NA	NA	"2.99850074962518"	NA	NA	5	21	0.302631578947368	0.118421052631579	0.210526315789474	0.0263157894736842	NA
"2385"	74	32	97	"bee"	6	88	85	55	64	130	83	1677	0.364	5	22	5	NA	NA	"0.6"	0.6	NA	5	9	0.477272727272727	0.272727272727273	0.375	0.0340909090909091	NA
"2389"	74	36	53	"ant"	6	49	51	27	39	59	41.667	261.333	0.16	5	26	5	NA	NA	"-0.272739669984999"	-0.272739669984999	NA	5	4	0.204081632653061	0.204081632653061	0.448979591836735	0.0408163265306122	NA
"2394"	75	1	98	"ant"	6	60	60	52	86	112	83.333	905.333	-0.088	1	1	1	NA	NA	"0"	0	NA	5	38	0.133333333333333	0.433333333333333	0.866666666666667	0	NA
"2397"	75	4	85	"crane"	6	114	107	60	84	99	81	387	-0.149	1	4	1	NA	NA	"0.212121212121212"	0.212121212121212	NA	3	29	0.131578947368421	0.263157894736842	0.473684210526316	0.0614035087719298	NA
"2398"	75	5	84	"cricket"	6	74	71	35	65	90	63.333	758.333	-0.06	1	5	1	NA	NA	"0.28124121121215"	0.28124121121215	NA	5	10	0.216216216216216	0.121621621621622	0.527027027027027	0.0405405405405405	NA
"2400"	75	7	98	"bee"	6	62	63	63	72	83	72.667	100.333	0.066	1	7	1	NA	NA	"0.09374707040405"	0.0937470704040499	NA	4	36	0.0161290322580645	0.161290322580645	0.338709677419355	0.0161290322580645	NA
"2401"	75	8	50	"flamingo"	6	40	40	44	70	73	62.333	254.333	-0.37	1	8	1	NA	NA	"0"	0	NA	2	10	0.1	0.75	0.825	0	NA
"2402"	75	9	62	"crane"	6	84	76	16	50	61	42.333	550.333	-0.292	1	9	1	NA	NA	"0.191998464012288"	0.191998464012288	NA	3	22	0.273809523809524	0.404761904761905	0.80952380952381	0.0952380952380952	NA
"2411"	75	18	69	"flamingo"	6	89	87	57	69	85	70.333	197.333	0.094	1	18	1	NA	NA	"0.107140943911716"	0.107140943911716	NA	3	20	0.0449438202247191	0.224719101123595	0.359550561797753	0.0224719101123595	NA
"2413"	75	20	97	"cricket"	6	94	98	74	104	110	96	372	-0.343	1	20	1	NA	NA	"2"	NA	NA	5	3	0.212765957446809	0.106382978723404	0.170212765957447	0.0425531914893617	NA
"2415"	75	22	97	"bee"	6	88	77	55	64	130	83	1677	0.364	1	22	1	NA	NA	"2.2"	NA	NA	5	9	0.477272727272727	0.272727272727273	0.375	0.125	NA
"2419"	75	26	53	"ant"	6	55	56	33	36	60	43	219	0.367	1	26	1	NA	NA	"-0.083333333333333"	-0.0833333333333333	NA	5	2	0.0909090909090909	0.345454545454545	0.4	0.0181818181818182	NA
"2434"	76	1	98	"ant"	6	57	57	36	52	118	68.667	1889.333	0.327	1	1	1	NA	NA	"0"	0	NA	7	41	0.368421052631579	0.087719298245614	1.07017543859649	0	NA
"2437"	76	4	85	"crane"	6	100	92	63	86	104	84.333	422.333	-0.081	1	4	1	NA	NA	"0.510627433458863"	0.510627433458863	NA	5	15	0.04	0.14	0.37	0.08	NA
"2438"	76	5	84	"cricket"	6	75	75	35	77	101	71	1116	-0.174	1	5	1	NA	NA	"0"	0	NA	7	9	0.346666666666667	0.0266666666666667	0.533333333333333	0	NA
"2440"	76	7	98	"bee"	6	115	105	77	79	81	79	4	0	1	7	1	NA	NA	"0.277777777777778"	0.277777777777778	NA	3	17	0.295652173913043	0.31304347826087	0.330434782608696	0.0869565217391304	NA
"2441"	76	8	50	"flamingo"	6	55	56	36	58	87	60.333	654.333	0.09	1	8	1	NA	NA	"0.187511719482468"	0.187511719482468	NA	5	5	0.345454545454545	0.0545454545454545	0.581818181818182	0.0181818181818182	NA
