playerNr;period;nAnimals;animalName;treatment;firstEstimate;secondEstimate;p1;p2;p3;meanP;varP;skewP;age;gender;SocInfo
10;4;85;crane;6;74;82;75;87;106;89.333;244.333;0.146;;;0.521750473
10;5;84;cricket;6;48;56;61;78;105;81.333;492.333;0.147;;;0.2400024
10;6;60;ant;3;37;43;38;39;56;44.333;102.333;0.381;;;0.81821901
10;7;98;bee;6;71;75;36;68;94;66;844;-0.069;;;-0.8
10;8;50;flamingo;6;54;49;35;43;60;46;163;0.222;;;0.625
10;9;62;crane;6;67;61;41;50;51;47.333;30.333;-0.371;;;0.305079575
10;10;71;cricket;5;53;52;56;60;75;63.667;100.333;0.317;;;-0.09374707
10;11;88;ant;4;62;68;63;80;81;74.667;102.333;-0.381;;;0.473671745
10;12;59;bee;2;48;53;55;57;61;57.667;9.333;0.208;;;0.517223544
10;13;93;flamingo;2;69;73;80;82;86;82.667;9.333;0.208;;;0.292675788
10;14;99;crane;5;86;103;97;98;115;103.333;102.333;0.381;;;0.980788092
10;15;58;cricket;4;91;79;67;69;86;74;109;0.369;;;0.705882353
10;16;79;ant;5;63;69;68;72;87;75.667;100.333;0.317;;;0.473671745
10;17;50;bee;4;38;35;39;54;58;50.333;100.333;-0.317;;;-0.243249818
10;18;69;flamingo;6;52;67;51;57;82;63.333;270.333;0.328;;;132.356.834
10;19;52;crane;4;69;70;49;50;67;55.333;102.333;0.381;;;-0.073168947
10;20;97;cricket;6;70;77;72;97;110;93;373;-0.198;;;0.304347826
10;21;71;ant;2;53;57;61;63;67;63.667;9.333;0.208;;;0.374988282
10;22;97;bee;6;78;80;85;105;120;103.333;308.333;-0.094;;;0.078948407
10;23;89;flamingo;3;69;77;72;83;92;82.333;100.333;-0.066;;;0.600015
10;24;93;crane;3;77;85;81;91;101;91;100;0;;;0.571428571
10;25;58;cricket;2;77;73;58;63;64;61.667;10.333;-0.343;;;0.260875236
10;26;53;ant;6;60;55;33;44;63;46.667;230.333;0.17;;;0.375009375
10;27;80;bee;3;70;79;75;83;94;84;91;0.104;;;0.642857143
10;28;58;flamingo;4;58;63;59;75;77;70.333;97.333;-0.367;;;0.405416363
10;29;86;crane;2;77;74;90;92;95;92.333;6.333;0.13;;;-0.195656427
10;30;70;cricket;3;58;64;60;70;80;70;100;0;;;0.5
10;31;93;ant;1;65;69;78;;;;;;;;0.307692308
10;32;78;bee;1;80;71;65;;;;;;;;0.6
10;33;59;flamingo;1;78;73;64;;;;;;;;0.357142857
10;34;74;crane;1;84;81;67;;;;;;;;0.176470588
10;35;69;cricket;1;68;73;80;;;;;;;;0.416666667
10;36;60;ant;7;66;57;43;53;63;53;100;0;;;0.692307692
10;37;77;bee;7;42;49;44;45;62;50.333;102.333;0.381;;;0.840033601
10;38;93;flamingo;7;98;80;76;77;82;78.333;10.333;0.343;;;0.915238725
10;39;85;crane;7;87;73;62;76;103;80.333;434.333;0.199;;;2.099.895.005
10;40;58;cricket;7;45;50;46;61;64;57;93;-0.343;27;1;0.416666667
11;1;60;ant;7;66;61;43;53;63;53;100;0;;;0.384615385
11;2;77;bee;7;90;78;60;75;79;71.333;100.333;-0.317;;;0.642845663
11;3;93;flamingo;7;102;87;78;83;84;81.667;10.333;-0.343;;;0.737717012
11;4;85;crane;7;59;86;77;101;108;95.333;264.333;-0.306;;;0.743126084
11;5;58;cricket;7;69;62;49;50;67;55.333;102.333;0.381;;;0.51218263
11;6;98;ant;6;56;51;36;39;50;41.667;54.333;0.314;;;0.348845322
11;7;77;bee;5;48;50;51;53;69;57.667;97.333;0.367;;;0.206889418
11;8;98;flamingo;5;58;66;63;65;81;69.667;97.333;0.367;;;0.685694694
11;9;85;crane;6;64;75;60;71;115;82;847;0.324;;;0.611111111
11;10;84;cricket;6;65;66;25;46;107;59.333;1.814.333;0.282;;;-0.176460208
11;11;60;ant;3;64;63;42;51;62;51.667;100.333;0.066;;;0.081083273
11;12;98;bee;6;72;74;63;68;113;81.333;758.333;0.371;;;0.214293368
11;13;50;flamingo;6;51;48;25;45;54;41.333;220.333;-0.232;;;0.310334126
11;14;62;crane;6;49;44;25;42;70;45.667;516.333;0.157;;;1.500.150.015
11;15;71;cricket;5;68;77;73;75;91;79.667;97.333;0.367;;;0.771406531
11;16;88;ant;4;61;69;62;78;80;73.333;97.333;-0.367;;;0.64866618
11;17;59;bee;2;44;49;50;52;56;52.667;9.333;0.208;;;0.576900888
11;18;93;flamingo;2;84;95;97;102;103;100.667;10.333;-0.343;;;0.6599868
11;19;99;crane;5;104;93;72;88;90;83.333;97.333;-0.367;;;0.53224948
11;20;58;cricket;4;50;57;52;69;70;63.667;102.333;-0.381;;;0.51218263
11;21;79;ant;5;72;84;79;81;97;85.667;97.333;0.367;;;0.878027365
11;22;50;bee;4;57;49;36;38;54;42.667;97.333;0.367;;;0.558152515
11;23;69;flamingo;6;76;79;68;82;115;88.333;582.333;0.244;;;0.243249818
11;24;52;crane;4;69;64;49;50;67;55.333;102.333;0.381;;;0.365844735
11;25;97;cricket;6;82;64;59;64;65;62.667;10.333;-0.343;;;0.931050535
11;26;71;ant;2;54;63;62;64;68;64.667;9.333;0.208;;;0.843723634
11;27;97;bee;6;74;79;57;92;119;89.333;966.333;-0.085;;;0.326094046
11;28;89;flamingo;3;78;87;84;94;104;94;100;0;;;0.5625
11;29;93;crane;3;72;77;76;87;96;86.333;100.333;-0.066;;;0.348845322
11;30;58;cricket;2;59;51;45;46;51;47.333;10.333;0.343;;;0.685694694
11;31;53;ant;6;52;35;26;32;36;31.333;25.333;-0.13;;;0.822567378
11;32;80;bee;3;55;61;56;66;76;66;100;0;;;0.545454545
11;33;58;flamingo;4;69;58;48;50;66;54.667;97.333;0.367;;;0.767459708
11;34;86;crane;2;85;99;97;102;105;101.333;16.333;-0.16;;;0.85716035
11;35;70;cricket;3;56;61;57;67;77;67;100;0;;;0.454545455
11;36;93;ant;1;83;88;100;;;;;;;;0.294117647
11;37;78;bee;1;51;54;62;;;;;;;;0.272727273
11;38;59;flamingo;1;65;61;52;;;;;;;;0.307692308
11;39;74;crane;1;77;73;62;;;;;;;;0.266666667
11;40;69;cricket;1;53;55;65;;;;;;33;1;0.166666667
12;1;60;ant;7;76;66;51;60;71;60.667;100.333;0.066;;;0.652188091
12;2;77;bee;7;63;73;71;72;89;77.333;102.333;0.381;;;0.697690644
12;3;93;flamingo;7;115;93;89;91;96;92;13;0.256;;;0.956521739
12;4;85;crane;7;64;63;60;71;115;82;847;0.324;;;-0.055555556
12;5;58;cricket;7;46;47;47;61;66;58;97;-0.276;;;0.083333333
12;6;93;ant;1;52;52;62;;;;;;;;0
12;7;78;bee;1;70;77;84;;;;;;;;0.5
12;8;59;flamingo;1;69;60;55;;;;;;;;0.642857143
12;9;74;crane;1;75;76;60;;;;;;;;-0.066666667
12;10;69;cricket;1;68;66;80;;;;;;;;-0.166666667
12;11;98;ant;6;78;58;39;52;112;67.667;1.516.333;0.337;;;1.935.546.308
12;12;77;bee;5;76;83;85;89;105;93;112;0.324;;;0.411764706
12;13;98;flamingo;5;85;93;96;97;114;102.333;102.333;0.381;;;0.461547337
12;14;85;crane;6;89;88;54;97;104;85;733;-0.356;;;0.25
12;15;84;cricket;6;64;53;51;54;78;61;219;0.367;;;3.666.666.667
12;16;60;ant;3;48;51;49;59;69;59;100;0;;;0.272727273
12;17;98;bee;6;80;78;30;58;91;59.667;932.333;0.054;;;0.098362268
12;18;50;flamingo;6;44;41;20;33;39;30.667;94.333;-0.226;;;0.225005625
12;19;62;crane;6;51;52;44;77;90;70.333;562.333;-0.259;;;0.05172503
12;20;71;cricket;5;57;58;62;63;80;68.333;102.333;0.381;;;0.088237889
12;21;88;ant;4;58;58;59;75;76;70;91;-0.38;;;0
12;22;59;bee;2;45;46;50;55;57;54;13;-0.256;;;0.111111111
12;23;93;flamingo;2;66;65;77;78;83;79.333;10.333;0.343;;;-0.075001875
12;24;99;crane;5;63;64;69;70;87;75.333;102.333;0.381;;;0.081083273
12;25;58;cricket;4;46;45;47;61;66;58;97;-0.276;;;-0.083333333
12;26;79;ant;5;62;61;67;68;85;73.333;102.333;0.381;;;-0.088237889
12;27;50;bee;4;38;40;39;54;58;50.333;100.333;-0.317;;;0.162166545
12;28;69;flamingo;6;49;53;38;64;86;62.667;577.333;-0.055;;;0.292675788
12;29;52;crane;4;43;42;44;60;61;55;91;-0.38;;;-0.083333333
12;30;97;cricket;6;44;46;43;48;50;47;13;-0.256;;;0.666666667
12;31;71;ant;2;52;52;59;63;65;62.333;9.333;-0.208;;;0
12;32;97;bee;6;67;66;66;122;135;107.667;1.344.333;-0.331;;;-0.024589962
12;33;89;flamingo;3;66;66;69;79;89;79;100;0;;;0
12;34;93;crane;3;64;64;68;78;88;78;100;0;;;0
12;35;58;cricket;2;49;50;55;60;61;58.667;10.333;-0.343;;;0.103444709
